Dla   155.415 wyliczono :         59,4        96,1       251,5       406,9       192,1        36,7 
Dla 1.55415e+08 wyliczono :   59363367,2  96051945,9 251467259,0 406882572,1 192103891,7  36688578,6 
Dla 1.55415e+08 wyliczono :   59363367,2  96051945,9 251467259,0 406882572,1 192103891,7  36688578,6 
Dla   1554.15 wyliczono :        593,6       960,5      2514,7      4068,8      1921,0       366,9 
Dla   1554.15 wyliczono :        593,6       960,5      2514,7      4068,8      1921,0       366,9 
Dla 1.55415e+08 wyliczono :   59363367,2  96051945,9 251467259,0 406882572,1 192103891,7  36688578,6 
Dla 1.55415e+08 wyliczono :   59363367,2  96051945,9 251467259,0 406882572,1 192103891,7  36688578,6 
Dla    155415 wyliczono :      59363,4     96051,9    251467,3    406882,6    192103,9     36688,6 
Dla    155416 wyliczono :      59363,4     96052,1    251467,6    406883,1    192104,1     36688,6 
Dla    155416 wyliczono :      59363,4     96052,1    251467,6    406883,1    192104,1     36688,6 
Dla    155416 wyliczono :      59363,4     96052,1    251467,6    406883,1    192104,1     36688,6 
Dla   15.5416 wyliczono :          5,9         9,6        25,1        40,7        19,2         3,7 
Dla      15.5 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla      15.5 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla      15.5 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla      15.5 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla    15.513 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla      15.5 wyliczono :          5,9         9,6        25,1        40,6        19,2         3,7 
Dla    1515.5 wyliczono :        578,9       936,6      2452,1      3967,6      1873,3       357,8 
Dla   15115.5 wyliczono :       5773,6      9341,9     24457,4     39572,9     18683,8      3568,3 
Dla    151316 wyliczono :      57797,4     93518,1    244833,6    396149,1    187036,2     35720,7 
Dla 1.51352e+06 wyliczono :     578111,5    935404,0   2448919,5   3962435,0   1870808,0    357292,5 
Dla 1.51351e+07 wyliczono :    5781099,7   9354015,8  24489131,3  39624246,8  18708031,6   3572916,1 
Dla 1.51352e+09 wyliczono :  578111408,0 935403907,5 2448919223,0 3962434538,5 1870807814,9 357292499,4 
Dla 1.51352e+09 wyliczono :  578111408,0 935403907,5 2448919223,0 3962434538,5 1870807814,9 357292499,4 
